,0
TN.districts.Tirunelveli.total.confirmed,49374
TN.districts.Tirunelveli.total.deceased,432
TN.districts.Tirunelveli.total.recovered,48812
TN.districts.Tirunelveli.total.tested,54208
TN.districts.Tirunelveli.total.vaccinated1,815687
TN.districts.Tirunelveli.total.vaccinated2,275985
TN.districts.Tirupathur.delta.confirmed,10
TN.districts.Tirupathur.delta.recovered,8
TN.districts.Tirupathur.delta.vaccinated1,311
TN.districts.Tirupathur.delta.vaccinated2,525
TN.districts.Tirupathur.delta21_14.confirmed,61
TN.districts.Tirupathur.delta7.confirmed,50
TN.districts.Tirupathur.delta7.recovered,66
TN.districts.Tirupathur.delta7.vaccinated1,11111
TN.districts.Tirupathur.delta7.vaccinated2,24743
TN.districts.Tirupathur.meta.population,1111812
TN.districts.Tirupathur.meta.tested.date,2020-07-23
TN.districts.Tirupathur.total.confirmed,29301
TN.districts.Tirupathur.total.deceased,625
TN.districts.Tirupathur.total.recovered,28600
TN.districts.Tirupathur.total.tested,23998
TN.districts.Tirupathur.total.vaccinated1,541496
TN.districts.Tirupathur.total.vaccinated2,205219
TN.districts.Tiruppur.delta.confirmed,69
TN.districts.Tiruppur.delta.deceased,1
TN.districts.Tiruppur.delta.recovered,53
TN.districts.Tiruppur.delta.vaccinated1,133
TN.districts.Tiruppur.delta.vaccinated2,443
TN.districts.Tiruppur.delta21_14.confirmed,556
TN.districts.Tiruppur.delta7.confirmed,504
TN.districts.Tiruppur.delta7.deceased,5
TN.districts.Tiruppur.delta7.recovered,537
TN.districts.Tiruppur.delta7.vaccinated1,20414
TN.districts.Tiruppur.delta7.vaccinated2,50762
TN.districts.Tiruppur.meta.population,2471222
TN.districts.Tiruppur.meta.tested.date,2020-07-23
TN.districts.Tiruppur.total.confirmed,95405
TN.districts.Tiruppur.total.deceased,979
TN.districts.Tiruppur.total.recovered,93683
TN.districts.Tiruppur.total.tested,36301
TN.districts.Tiruppur.total.vaccinated1,1671392
TN.districts.Tiruppur.total.vaccinated2,611015
TN.districts.Tiruvannamalai.delta.confirmed,18
TN.districts.Tiruvannamalai.delta.recovered,28
TN.districts.Tiruvannamalai.delta.vaccinated1,4455
TN.districts.Tiruvannamalai.delta.vaccinated2,10228
TN.districts.Tiruvannamalai.delta21_14.confirmed,142
TN.districts.Tiruvannamalai.delta7.confirmed,120
TN.districts.Tiruvannamalai.delta7.recovered,158
TN.districts.Tiruvannamalai.delta7.vaccinated1,31415
TN.districts.Tiruvannamalai.delta7.vaccinated2,73235
TN.districts.Tiruvannamalai.meta.population,2468965
TN.districts.Tiruvannamalai.meta.tested.date,2020-07-23
TN.districts.Tiruvannamalai.total.confirmed,54968
TN.districts.Tiruvannamalai.total.deceased,667
TN.districts.Tiruvannamalai.total.recovered,54122
TN.districts.Tiruvannamalai.total.tested,76170
TN.districts.Tiruvannamalai.total.vaccinated1,1270049
TN.districts.Tiruvannamalai.total.vaccinated2,533376
TN.districts.Vellore.delta.confirmed,12
TN.districts.Vellore.delta.recovered,15
TN.districts.Vellore.delta.vaccinated1,953
TN.districts.Vellore.delta.vaccinated2,1825
TN.districts.Vellore.delta21_14.confirmed,119
TN.districts.Vellore.delta7.confirmed,117
TN.districts.Vellore.delta7.deceased,1
TN.districts.Vellore.delta7.recovered,139
TN.districts.Vellore.delta7.vaccinated1,18978
TN.districts.Vellore.delta7.vaccinated2,31716
TN.districts.Vellore.meta.population,1614242
TN.districts.Vellore.meta.tested.date,2020-07-23
TN.districts.Vellore.total.confirmed,49864
TN.districts.Vellore.total.deceased,1131
TN.districts.Vellore.total.recovered,48564
TN.districts.Vellore.total.tested,47936
TN.districts.Vellore.total.vaccinated1,763735
TN.districts.Vellore.total.vaccinated2,336366
TN.districts.Viluppuram.delta.confirmed,10
TN.districts.Viluppuram.delta.recovered,11
TN.districts.Viluppuram.delta.vaccinated1,12953
TN.districts.Viluppuram.delta.vaccinated2,11812
TN.districts.Viluppuram.delta21_14.confirmed,84
TN.districts.Viluppuram.delta7.confirmed,79
TN.districts.Viluppuram.delta7.deceased,1
TN.districts.Viluppuram.delta7.recovered,83
TN.districts.Viluppuram.delta7.vaccinated1,53748
TN.districts.Viluppuram.delta7.vaccinated2,67153
TN.districts.Viluppuram.meta.population,2093003
TN.districts.Viluppuram.meta.tested.date,2020-07-23
TN.districts.Viluppuram.total.confirmed,45857
TN.districts.Viluppuram.total.deceased,356
TN.districts.Viluppuram.total.recovered,45382
TN.districts.Viluppuram.total.tested,52064
TN.districts.Viluppuram.total.vaccinated1,1085842
TN.districts.Viluppuram.total.vaccinated2,444502
TN.districts.Virudhunagar.delta.confirmed,5
TN.districts.Virudhunagar.delta.recovered,8
TN.districts.Virudhunagar.delta.vaccinated1,1007
TN.districts.Virudhunagar.delta.vaccinated2,3437
TN.districts.Virudhunagar.delta21_14.confirmed,45
TN.districts.Virudhunagar.delta7.confirmed,38
TN.districts.Virudhunagar.delta7.recovered,45
TN.districts.Virudhunagar.delta7.vaccinated1,16628
TN.districts.Virudhunagar.delta7.vaccinated2,50467
TN.districts.Virudhunagar.meta.population,1943309
TN.districts.Virudhunagar.meta.tested.date,2020-07-23
TN.districts.Virudhunagar.total.confirmed,46294
TN.districts.Virudhunagar.total.deceased,548
TN.districts.Virudhunagar.total.recovered,45687
TN.districts.Virudhunagar.total.tested,28620
TN.districts.Virudhunagar.total.vaccinated1,1072788
TN.districts.Virudhunagar.total.vaccinated2,505098
TN.meta.date,2021-10-31
TN.meta.last_updated,2021-11-01T09:54:14+05:30
TN.meta.notes,"[June 29 2021]: TN has introduced a new district ""Mayiladuthurai"" in the bulletin and has assigned cases from Nagapattinam to the new district.
[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.
2 deaths cross notified to other states from Chennai and Coimbatore.
1 patient died after turning negative for infection in Chengalpattu.
These cases have been added to TN deceased tally"
TN.meta.population,75695000
TN.meta.tested.date,2021-10-31
TN.meta.tested.source,https://t.me/Covid19india_Auxiliary_Test_Data/11882
TN.meta.vaccinated.date,2021-10-31
TN.total.confirmed,2702623
TN.total.deceased,36116
TN.total.recovered,2655015
TN.total.tested,51159242
TN.total.vaccinated1,41279432
TN.total.vaccinated2,17619141
TR.delta.confirmed,12
TR.delta.recovered,2
TR.delta.tested,3501
TR.delta.vaccinated1,3
TR.delta.vaccinated2,650
TR.delta21_14.confirmed,49
TR.delta7.confirmed,87
TR.delta7.recovered,62
TR.delta7.tested,22126
TR.delta7.vaccinated1,4155
TR.delta7.vaccinated2,74642
TR.districts.Dhalai.delta.vaccinated1,5
TR.districts.Dhalai.delta.vaccinated2,531
TR.districts.Dhalai.delta7.confirmed,1
TR.districts.Dhalai.delta7.recovered,2
TR.districts.Dhalai.delta7.vaccinated1,264
TR.districts.Dhalai.delta7.vaccinated2,11234
TR.districts.Dhalai.meta.population,377988
TR.districts.Dhalai.meta.tested.date,2021-02-02
TR.districts.Dhalai.total.confirmed,7037
TR.districts.Dhalai.total.deceased,35
TR.districts.Dhalai.total.other,1
TR.districts.Dhalai.total.recovered,7000
TR.districts.Dhalai.total.tested,61582
TR.districts.Dhalai.total.vaccinated1,258334
TR.districts.Dhalai.total.vaccinated2,164654
TR.districts.Gomati.delta.vaccinated2,1
TR.districts.Gomati.delta21_14.confirmed,3
TR.districts.Gomati.delta7.confirmed,8
TR.districts.Gomati.delta7.recovered,3
TR.districts.Gomati.delta7.vaccinated1,319
TR.districts.Gomati.delta7.vaccinated2,9611
TR.districts.Gomati.meta.population,436868
TR.districts.Gomati.meta.tested.date,2021-02-02
TR.districts.Gomati.total.confirmed,8134
TR.districts.Gomati.total.deceased,74
TR.districts.Gomati.total.other,4
TR.districts.Gomati.total.recovered,8043
TR.districts.Gomati.total.tested,47437
TR.districts.Gomati.total.vaccinated1,279099
TR.districts.Gomati.total.vaccinated2,161408
TR.districts.Khowai.delta.confirmed,2
TR.districts.Khowai.delta21_14.confirmed,1
TR.districts.Khowai.delta7.confirmed,3
TR.districts.Khowai.delta7.vaccinated1,373
TR.districts.Khowai.delta7.vaccinated2,5866
TR.districts.Khowai.meta.population,327391
TR.districts.Khowai.meta.tested.date,2021-02-02
TR.districts.Khowai.total.confirmed,4559
TR.districts.Khowai.total.deceased,54
TR.districts.Khowai.total.recovered,4500
TR.districts.Khowai.total.tested,24046
TR.districts.Khowai.total.vaccinated1,202148
TR.districts.Khowai.total.vaccinated2,111955
TR.districts.North Tripura.delta.confirmed,2
TR.districts.North Tripura.delta21_14.confirmed,8
TR.districts.North Tripura.delta7.confirmed,4
TR.districts.North Tripura.delta7.recovered,8
TR.districts.North Tripura.delta7.vaccinated1,352
TR.districts.North Tripura.delta7.vaccinated2,4099
TR.districts.North Tripura.meta.population,415946
TR.districts.North Tripura.meta.tested.date,2021-02-02
TR.districts.North Tripura.total.confirmed,7250
TR.districts.North Tripura.total.deceased,34
TR.districts.North Tripura.total.other,7
TR.districts.North Tripura.total.recovered,7199
TR.districts.North Tripura.total.tested,100931
TR.districts.North Tripura.total.vaccinated1,283802
TR.districts.North Tripura.total.vaccinated2,190594
TR.districts.Sipahijala.delta.vaccinated2,9
TR.districts.Sipahijala.delta21_14.confirmed,2
TR.districts.Sipahijala.delta7.confirmed,8
TR.districts.Sipahijala.delta7.recovered,4
TR.districts.Sipahijala.delta7.vaccinated1,451
TR.districts.Sipahijala.delta7.vaccinated2,10397
TR.districts.Sipahijala.meta.population,484233
TR.districts.Sipahijala.meta.tested.date,2021-02-02
TR.districts.Sipahijala.total.confirmed,6360
TR.districts.Sipahijala.total.deceased,75
TR.districts.Sipahijala.total.other,1
TR.districts.Sipahijala.total.recovered,6273
TR.districts.Sipahijala.total.tested,53067
TR.districts.Sipahijala.total.vaccinated1,330932
TR.districts.Sipahijala.total.vaccinated2,211903
TR.districts.South Tripura.delta.confirmed,1
TR.districts.South Tripura.delta.vaccinated2,1
TR.districts.South Tripura.delta21_14.confirmed,1
TR.districts.South Tripura.delta7.confirmed,4
TR.districts.South Tripura.delta7.recovered,1
TR.districts.South Tripura.delta7.vaccinated1,267
TR.districts.South Tripura.delta7.vaccinated2,5639
TR.districts.South Tripura.meta.population,433737
TR.districts.South Tripura.meta.tested.date,2021-02-02
TR.districts.South Tripura.total.confirmed,10168
TR.districts.South Tripura.total.deceased,53
TR.districts.South Tripura.total.other,3
TR.districts.South Tripura.total.recovered,10104
TR.districts.South Tripura.total.tested,83030
TR.districts.South Tripura.total.vaccinated1,303987
TR.districts.South Tripura.total.vaccinated2,209259
TR.districts.Unokoti.delta.confirmed,1
TR.districts.Unokoti.delta.vaccinated2,5
TR.districts.Unokoti.delta21_14.confirmed,1
TR.districts.Unokoti.delta7.confirmed,4
TR.districts.Unokoti.delta7.recovered,3
TR.districts.Unokoti.delta7.vaccinated1,762
TR.districts.Unokoti.delta7.vaccinated2,10307
TR.districts.Unokoti.meta.population,277335
TR.districts.Unokoti.meta.tested.date,2021-02-02
TR.districts.Unokoti.total.confirmed,8609
TR.districts.Unokoti.total.deceased,68
TR.districts.Unokoti.total.other,4
TR.districts.Unokoti.total.recovered,8530
TR.districts.Unokoti.total.tested,34930
TR.districts.Unokoti.total.vaccinated1,173390
TR.districts.Unokoti.total.vaccinated2,101178
TR.districts.West Tripura.delta.confirmed,6
TR.districts.West Tripura.delta.recovered,2
TR.districts.West Tripura.delta.vaccinated1,5
TR.districts.West Tripura.delta.vaccinated2,13
TR.districts.West Tripura.delta21_14.confirmed,33
TR.districts.West Tripura.delta7.confirmed,55
TR.districts.West Tripura.delta7.recovered,41
TR.districts.West Tripura.delta7.vaccinated1,1366
TR.districts.West Tripura.delta7.vaccinated2,17141
TR.districts.West Tripura.meta.population,917534
TR.districts.West Tripura.meta.tested.date,2021-02-02
TR.districts.West Tripura.total.confirmed,32351
TR.districts.West Tripura.total.deceased,420
TR.districts.West Tripura.total.other,43
TR.districts.West Tripura.total.recovered,31817
TR.districts.West Tripura.total.tested,202939
TR.districts.West Tripura.total.vaccinated1,676784
TR.districts.West Tripura.total.vaccinated2,470030
TR.meta.date,2021-10-31
TR.meta.last_updated,2021-11-01T09:54:14+05:30
TR.meta.notes,"[Aug 4]: Tripura bulletin for the previous day is released on the next day. We will add the cases for Tripura against the date of release, as that is the convention that we are following for other states."
TR.meta.population,3992000
TR.meta.tested.date,2021-10-31
TR.meta.tested.source,https://t.me/Covid19india_Auxiliary_Test_Data/11868
TR.meta.vaccinated.date,2021-10-31
TR.total.confirmed,84468
TR.total.deceased,813
TR.total.other,63
TR.total.recovered,83466
TR.total.tested,1983127
TR.total.vaccinated1,2508477
TR.total.vaccinated2,1621329
TT.delta.confirmed,12907
TT.delta.deceased,251
TT.delta.other,1
TT.delta.recovered,13152
TT.delta.tested,881379
TT.delta.vaccinated1,750410
TT.delta.vaccinated2,933460
TT.delta21_14.confirmed,109755
TT.delta7.confirmed,96071
TT.delta7.deceased,3727
TT.delta7.other,37
TT.delta7.recovered,101753
TT.delta7.tested,8431577
TT.delta7.vaccinated1,15883780
TT.delta7.vaccinated2,24527530
TT.meta.date,2021-10-31
TT.meta.last_updated,2021-11-01T11:20:24+05:30
TT.meta.population,1332900000
TT.meta.tested.date,2021-10-31
TT.meta.tested.source,https://twitter.com/ICMRDELHI/status/1455013648355577862?s=20
TT.meta.vaccinated.date,2021-10-31
TT.meta.vaccinated.source,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1768299
TT.total.confirmed,34285612
TT.total.deceased,458470
TT.total.other,13197
TT.total.recovered,33661339
TT.total.tested,609201294
TT.total.vaccinated1,732371508
TT.total.vaccinated2,330752697
UP.delta.confirmed,6
UP.delta.recovered,6
UP.delta.tested,161458
UP.delta.vaccinated1,53401
UP.delta.vaccinated2,57556
UP.delta21_14.confirmed,74
UP.delta7.confirmed,63
UP.delta7.deceased,1
UP.delta7.recovered,58
UP.delta7.tested,1140736
UP.delta7.vaccinated1,2266921
UP.delta7.vaccinated2,3130828
UP.districts.Agra.delta.vaccinated1,178
UP.districts.Agra.delta.vaccinated2,265
UP.districts.Agra.delta21_14.confirmed,3
UP.districts.Agra.delta7.recovered,2
UP.districts.Agra.delta7.vaccinated1,23657
UP.districts.Agra.delta7.vaccinated2,42953
UP.districts.Agra.meta.population,4380793
UP.districts.Agra.meta.tested.date,2021-01-31
UP.districts.Agra.total.confirmed,25765
UP.districts.Agra.total.deceased,457
UP.districts.Agra.total.recovered,25308
UP.districts.Agra.total.tested,491361
UP.districts.Agra.total.vaccinated1,2172907
UP.districts.Agra.total.vaccinated2,746386
UP.districts.Aligarh.delta.vaccinated1,9
UP.districts.Aligarh.delta.vaccinated2,25
UP.districts.Aligarh.delta21_14.confirmed,2
UP.districts.Aligarh.delta7.vaccinated1,34650
UP.districts.Aligarh.delta7.vaccinated2,57576
UP.districts.Aligarh.meta.population,3673849
UP.districts.Aligarh.meta.tested.date,2021-01-31
UP.districts.Aligarh.total.confirmed,21280
UP.districts.Aligarh.total.deceased,108
UP.districts.Aligarh.total.recovered,21172
UP.districts.Aligarh.total.tested,482825
UP.districts.Aligarh.total.vaccinated1,1589498
UP.districts.Aligarh.total.vaccinated2,498586
UP.districts.Ambedkar Nagar.delta.vaccinated1,138
UP.districts.Ambedkar Nagar.delta.vaccinated2,145
UP.districts.Ambedkar Nagar.delta7.confirmed,1
UP.districts.Ambedkar Nagar.delta7.vaccinated1,21528
UP.districts.Ambedkar Nagar.delta7.vaccinated2,32042
UP.districts.Ambedkar Nagar.meta.population,2398709
UP.districts.Ambedkar Nagar.meta.tested.date,2021-01-31
UP.districts.Ambedkar Nagar.total.confirmed,5040
UP.districts.Ambedkar Nagar.total.deceased,152
UP.districts.Ambedkar Nagar.total.recovered,4885
UP.districts.Ambedkar Nagar.total.tested,123151
UP.districts.Ambedkar Nagar.total.vaccinated1,1135268
UP.districts.Ambedkar Nagar.total.vaccinated2,349925
UP.districts.Amethi.delta.vaccinated1,165
UP.districts.Amethi.delta.vaccinated2,11
UP.districts.Amethi.delta21_14.confirmed,7
UP.districts.Amethi.delta7.recovered,2
UP.districts.Amethi.delta7.vaccinated1,19777
UP.districts.Amethi.delta7.vaccinated2,37617
UP.districts.Amethi.meta.population,2549935
UP.districts.Amethi.meta.tested.date,2021-01-31
UP.districts.Amethi.total.confirmed,9972
UP.districts.Amethi.total.deceased,143
UP.districts.Amethi.total.recovered,9828
UP.districts.Amethi.total.tested,267014
UP.districts.Amethi.total.vaccinated1,1015454
UP.districts.Amethi.total.vaccinated2,375261
UP.districts.Amroha.delta.vaccinated1,6
UP.districts.Amroha.delta.vaccinated2,8
UP.districts.Amroha.delta7.vaccinated1,16080
UP.districts.Amroha.delta7.vaccinated2,23048
UP.districts.Amroha.meta.population,1838771
UP.districts.Amroha.meta.tested.date,2021-01-13
UP.districts.Amroha.total.confirmed,16616
UP.districts.Amroha.total.deceased,203
UP.districts.Amroha.total.recovered,16412
UP.districts.Amroha.total.tested,254038
UP.districts.Amroha.total.vaccinated1,871164
UP.districts.Amroha.total.vaccinated2,265607
UP.districts.Auraiya.delta21_14.confirmed,1
UP.districts.Auraiya.delta7.vaccinated1,6878
UP.districts.Auraiya.delta7.vaccinated2,16443
UP.districts.Auraiya.meta.population,1372287
UP.districts.Auraiya.meta.tested.date,2021-01-10
UP.districts.Auraiya.total.confirmed,10090
UP.districts.Auraiya.total.deceased,203
UP.districts.Auraiya.total.recovered,9887
UP.districts.Auraiya.total.tested,107079
UP.districts.Auraiya.total.vaccinated1,614711
UP.districts.Auraiya.total.vaccinated2,180775
UP.districts.Ayodhya.delta.vaccinated1,217
UP.districts.Ayodhya.delta.vaccinated2,452
UP.districts.Ayodhya.delta7.recovered,1
UP.districts.Ayodhya.delta7.vaccinated1,26036
UP.districts.Ayodhya.delta7.vaccinated2,37279
UP.districts.Ayodhya.meta.population,2468371
UP.districts.Ayodhya.meta.tested.date,2021-01-31
UP.districts.Ayodhya.total.confirmed,16919
UP.districts.Ayodhya.total.deceased,290
UP.districts.Ayodhya.total.recovered,16629
UP.districts.Ayodhya.total.tested,376735
UP.districts.Ayodhya.total.vaccinated1,1270889
UP.districts.Ayodhya.total.vaccinated2,418182
UP.districts.Azamgarh.delta.vaccinated1,1764
UP.districts.Azamgarh.delta.vaccinated2,3111
UP.districts.Azamgarh.delta7.confirmed,2
UP.districts.Azamgarh.delta7.vaccinated1,41754
UP.districts.Azamgarh.delta7.vaccinated2,63205
UP.districts.Azamgarh.meta.population,4616509
UP.districts.Azamgarh.meta.tested.date,2020-12-27
UP.districts.Azamgarh.total.confirmed,17906
UP.districts.Azamgarh.total.deceased,228
UP.districts.Azamgarh.total.recovered,17675
UP.districts.Azamgarh.total.tested,12474
UP.districts.Azamgarh.total.vaccinated1,2165409
UP.districts.Azamgarh.total.vaccinated2,643824
UP.districts.Baghpat.delta.vaccinated1,10
UP.districts.Baghpat.delta.vaccinated2,52
UP.districts.Baghpat.delta7.vaccinated1,7829
UP.districts.Baghpat.delta7.vaccinated2,24151
UP.districts.Baghpat.meta.population,1302156
UP.districts.Baghpat.meta.tested.date,2021-01-31
UP.districts.Baghpat.total.confirmed,9132
UP.districts.Baghpat.total.deceased,141
UP.districts.Baghpat.total.recovered,8991
UP.districts.Baghpat.total.tested,327192
UP.districts.Baghpat.total.vaccinated1,692255
UP.districts.Baghpat.total.vaccinated2,337171
UP.districts.Bahraich.delta.vaccinated1,648
UP.districts.Bahraich.delta.vaccinated2,1565
UP.districts.Bahraich.delta7.vaccinated1,54069
UP.districts.Bahraich.delta7.vaccinated2,106010
UP.districts.Bahraich.meta.population,2384239
UP.districts.Bahraich.meta.tested.date,2021-01-31
UP.districts.Bahraich.total.confirmed,11549
UP.districts.Bahraich.total.deceased,178
UP.districts.Bahraich.total.recovered,11371
UP.districts.Bahraich.total.tested,308225
UP.districts.Bahraich.total.vaccinated1,1752196
UP.districts.Bahraich.total.vaccinated2,642554
UP.districts.Ballia.delta.vaccinated1,86
UP.districts.Ballia.delta.vaccinated2,170
UP.districts.Ballia.delta7.vaccinated1,29248
UP.districts.Ballia.delta7.vaccinated2,48334
UP.districts.Ballia.meta.population,3223642
UP.districts.Ballia.meta.tested.date,2021-01-31
UP.districts.Ballia.total.confirmed,21610
UP.districts.Ballia.total.deceased,234
UP.districts.Ballia.total.recovered,21376
UP.districts.Ballia.total.tested,267420
UP.districts.Ballia.total.vaccinated1,1433455
UP.districts.Ballia.total.vaccinated2,388341
UP.districts.Balrampur.delta.confirmed,1
UP.districts.Balrampur.delta.vaccinated1,747
UP.districts.Balrampur.delta.vaccinated2,630
UP.districts.Balrampur.delta21_14.confirmed,1
UP.districts.Balrampur.delta7.confirmed,2
UP.districts.Balrampur.delta7.vaccinated1,21033
UP.districts.Balrampur.delta7.vaccinated2,56322
UP.districts.Balrampur.meta.population,2149066
UP.districts.Balrampur.meta.tested.date,2021-01-31
UP.districts.Balrampur.total.confirmed,7494
UP.districts.Balrampur.total.deceased,138
UP.districts.Balrampur.total.recovered,7354
UP.districts.Balrampur.total.tested,276237
UP.districts.Balrampur.total.vaccinated1,995084
UP.districts.Balrampur.total.vaccinated2,438892
UP.districts.Banda.delta.vaccinated1,486
UP.districts.Banda.delta.vaccinated2,432
UP.districts.Banda.delta7.confirmed,1
UP.districts.Banda.delta7.vaccinated1,38560
UP.districts.Banda.delta7.vaccinated2,36938
UP.districts.Banda.meta.population,1799541
UP.districts.Banda.meta.tested.date,2021-01-10
UP.districts.Banda.total.confirmed,10992
UP.districts.Banda.total.deceased,158
UP.districts.Banda.total.recovered,10832
UP.districts.Banda.total.tested,303185
UP.districts.Banda.total.vaccinated1,795903
UP.districts.Banda.total.vaccinated2,236840
UP.districts.Barabanki.delta.vaccinated1,11
UP.districts.Barabanki.delta.vaccinated2,44
UP.districts.Barabanki.delta7.confirmed,1
UP.districts.Barabanki.delta7.vaccinated1,51121
UP.districts.Barabanki.delta7.vaccinated2,59870
UP.districts.Barabanki.meta.population,3257983
UP.districts.Barabanki.meta.tested.date,2021-01-30
UP.districts.Barabanki.total.confirmed,19850
UP.districts.Barabanki.total.deceased,225
UP.districts.Barabanki.total.recovered,19624
UP.districts.Barabanki.total.tested,147422
UP.districts.Barabanki.total.vaccinated1,1589704
UP.districts.Barabanki.total.vaccinated2,448292
UP.districts.Bareilly.delta.vaccinated1,6458
UP.districts.Bareilly.delta.vaccinated2,255
UP.districts.Bareilly.delta21_14.confirmed,5
UP.districts.Bareilly.delta7.confirmed,1
UP.districts.Bareilly.delta7.recovered,1
UP.districts.Bareilly.delta7.vaccinated1,68245
UP.districts.Bareilly.delta7.vaccinated2,64148
UP.districts.Bareilly.meta.population,4465344
UP.districts.Bareilly.meta.tested.date,2021-01-13
UP.districts.Bareilly.total.confirmed,44028
UP.districts.Bareilly.total.deceased,377
UP.districts.Bareilly.total.recovered,43650
UP.districts.Bareilly.total.tested,465209
UP.districts.Bareilly.total.vaccinated1,2221830
UP.districts.Bareilly.total.vaccinated2,749751
UP.districts.Basti.delta.confirmed,1
UP.districts.Basti.delta.vaccinated1,3555
UP.districts.Basti.delta.vaccinated2,4769
UP.districts.Basti.delta7.confirmed,2
UP.districts.Basti.delta7.vaccinated1,24797
UP.districts.Basti.delta7.vaccinated2,39395
UP.districts.Basti.meta.population,2461056
UP.districts.Basti.meta.tested.date,2021-01-31
UP.districts.Basti.total.confirmed,11717
UP.districts.Basti.total.deceased,330
UP.districts.Basti.total.recovered,11385
UP.districts.Basti.total.tested,296570
UP.districts.Basti.total.vaccinated1,1189235
UP.districts.Basti.total.vaccinated2,399451
UP.districts.Bhadohi.delta.vaccinated1,6
UP.districts.Bhadohi.delta.vaccinated2,7
UP.districts.Bhadohi.delta21_14.confirmed,1
UP.districts.Bhadohi.delta7.recovered,1
UP.districts.Bhadohi.delta7.vaccinated1,15479
UP.districts.Bhadohi.delta7.vaccinated2,20211
UP.districts.Bhadohi.meta.population,1554203
UP.districts.Bhadohi.meta.tested.date,2021-01-31
UP.districts.Bhadohi.total.confirmed,7720
UP.districts.Bhadohi.total.deceased,163
UP.districts.Bhadohi.total.recovered,7557
UP.districts.Bhadohi.total.tested,119023
UP.districts.Bhadohi.total.vaccinated1,793094
UP.districts.Bhadohi.total.vaccinated2,244431
UP.districts.Bijnor.delta.vaccinated1,-1
UP.districts.Bijnor.delta.vaccinated2,1
UP.districts.Bijnor.delta7.vaccinated1,27491
UP.districts.Bijnor.delta7.vaccinated2,53680
UP.districts.Bijnor.meta.population,3683896
UP.districts.Bijnor.meta.tested.date,2021-01-30
UP.districts.Bijnor.total.confirmed,14794
UP.districts.Bijnor.total.deceased,126
UP.districts.Bijnor.total.recovered,14668
UP.districts.Bijnor.total.tested,312985
UP.districts.Bijnor.total.vaccinated1,1756682
UP.districts.Bijnor.total.vaccinated2,600482
UP.districts.Budaun.delta.vaccinated1,581
UP.districts.Budaun.delta.vaccinated2,417
UP.districts.Budaun.delta7.vaccinated1,53729
UP.districts.Budaun.delta7.vaccinated2,43678
UP.districts.Budaun.meta.population,3712738
UP.districts.Budaun.meta.tested.date,2021-01-23
UP.districts.Budaun.total.confirmed,14941
UP.districts.Budaun.total.deceased,98
UP.districts.Budaun.total.recovered,14843
UP.districts.Budaun.total.tested,224207
UP.districts.Budaun.total.vaccinated1,1408673
UP.districts.Budaun.total.vaccinated2,364360
UP.districts.Bulandshahr.delta.vaccinated1,2
UP.districts.Bulandshahr.delta.vaccinated2,46
UP.districts.Bulandshahr.delta7.deceased,1
UP.districts.Bulandshahr.delta7.vaccinated1,18195
UP.districts.Bulandshahr.delta7.vaccinated2,42644
UP.districts.Bulandshahr.meta.population,3498507
UP.districts.Bulandshahr.meta.tested.date,2020-12-07
UP.districts.Bulandshahr.total.confirmed,20215
UP.districts.Bulandshahr.total.deceased,243
UP.districts.Bulandshahr.total.recovered,19972
UP.districts.Bulandshahr.total.tested,269090
UP.districts.Bulandshahr.total.vaccinated1,1647985
UP.districts.Bulandshahr.total.vaccinated2,646236
UP.districts.Chandauli.delta.vaccinated1,192
UP.districts.Chandauli.delta.vaccinated2,395
UP.districts.Chandauli.delta7.recovered,1
UP.districts.Chandauli.delta7.vaccinated1,19998
UP.districts.Chandauli.delta7.vaccinated2,31247
UP.districts.Chandauli.meta.population,1952713
UP.districts.Chandauli.meta.tested.date,2021-01-31
UP.districts.Chandauli.total.confirmed,16208
UP.districts.Chandauli.total.deceased,356
UP.districts.Chandauli.total.recovered,15852
UP.districts.Chandauli.total.tested,211249
UP.districts.Chandauli.total.vaccinated1,939599
UP.districts.Chandauli.total.vaccinated2,238646
UP.districts.Chitrakoot.delta.vaccinated1,329
UP.districts.Chitrakoot.delta.vaccinated2,536
UP.districts.Chitrakoot.delta7.vaccinated1,13007
UP.districts.Chitrakoot.delta7.vaccinated2,16383
UP.districts.Chitrakoot.meta.population,990626
UP.districts.Chitrakoot.meta.tested.date,2021-01-10
UP.districts.Chitrakoot.total.confirmed,7110
UP.districts.Chitrakoot.total.deceased,79
UP.districts.Chitrakoot.total.recovered,7031
UP.districts.Chitrakoot.total.tested,234060
UP.districts.Chitrakoot.total.vaccinated1,447303
UP.districts.Chitrakoot.total.vaccinated2,129157
UP.districts.Deoria.delta.vaccinated1,81
UP.districts.Deoria.delta.vaccinated2,167
UP.districts.Deoria.delta7.vaccinated1,29495
UP.districts.Deoria.delta7.vaccinated2,67895
UP.districts.Deoria.meta.population,3098637
UP.districts.Deoria.meta.tested.date,2021-01-31
UP.districts.Deoria.total.confirmed,20223
UP.districts.Deoria.total.deceased,220
UP.districts.Deoria.total.recovered,20003
UP.districts.Deoria.total.tested,304520
UP.districts.Deoria.total.vaccinated1,1597034
UP.districts.Deoria.total.vaccinated2,537293
UP.districts.Etah.delta.vaccinated1,475
UP.districts.Etah.delta.vaccinated2,170
